answer,score,correct,cleaned_text,tokens,stemmed_tokens,lemmatized_tokens
"Depending on how the work is done, Testing is spread throughout the process as to prevent errors from showing up later on due to lack of foresight.",1.5,0.0,depending on how the work is done testing is spread throughout the process as to prevent errors from showing up later on due to lack of foresight,"['depending', 'work', 'done', 'testing', 'spread', 'throughout', 'process', 'prevent', 'errors', 'showing', 'later', 'due', 'lack', 'foresight']",depend work done test spread throughout process prevent error show later due lack foresight,depending work done testing spread throughout process prevent error showing later due lack foresight
"Elaboration, construction, and transition.",2.5,0.0,elaboration construction and transition,"['elaboration', 'construction', 'transition']",elabor construct transit,elaboration construction transition
"All stages are influenced except setting the program requirements. If a test fails, it can change the whole design, implementation, etc of a program as well as the final outcome.",1.5,0.0,all stages are influenced except setting the program requirements if a test fails it can change the whole design implementation etc of a program as well as the final outcome,"['stages', 'influenced', 'except', 'setting', 'program', 'requirements', 'test', 'fails', 'change', 'whole', 'design', 'implementation', 'etc', 'program', 'well', 'final', 'outcome']",stage influenc except set program requir test fail chang whole design implement etc program well final outcom,stage influenced except setting program requirement test fails change whole design implementation etc program well final outcome
"Refining, production, and maintenance",3.0,0.0,refining production and maintenance,"['refining', 'production', 'maintenance']",refin product mainten,refining production maintenance
coding and refining,5.0,1.0,coding and refining,"['coding', 'refining']",code refin,coding refining
"refining, production, maintenance.",3.5,0.0,refining production maintenance,"['refining', 'production', 'maintenance']",refin product mainten,refining production maintenance
"Removing logical errors, testing for valid data, random data and actual data.",1.0,0.0,removing logical errors testing for valid data random data and actual data,"['removing', 'logical', 'errors', 'testing', 'valid', 'data', 'random', 'data', 'actual', 'data']",remov logic error test valid data random data actual data,removing logical error testing valid data random data actual data
1-specification 2-design 3-risk analysis 4-verification 5-coding 6-testing 7-refining 8-production 9-maintenance,2.5,0.0,1-specification 2-design 3-risk analysis 4-verification 5-coding 6-testing 7-refining 8-production 9-maintenance,"['1-specification', '2-design', '3-risk', 'analysis', '4-verification', '5-coding', '6-testing', '7-refining', '8-production', '9-maintenance']",1-specif 2-design 3-risk analysi 4-verif 5-code 6-test 7-refin 8-product 9-mainten,1-specification 2-design 3-risk analysis 4-verification 5-coding 6-testing 7-refining 8-production 9-maintenance
"Refining stage, Production stage, and Maintenance stage.",3.5,0.0,refining stage production stage and maintenance stage,"['refining', 'stage', 'production', 'stage', 'maintenance', 'stage']",refin stage product stage mainten stage,refining stage production stage maintenance stage
Testing could affect all parts of the life cycle; it could make you go back to specification if it does not test well.,2.0,0.0,testing could affect all parts of the life cycle it could make you go back to specification if it does not test well,"['testing', 'could', 'affect', 'parts', 'life', 'cycle', 'could', 'make', 'go', 'back', 'specification', 'test', 'well']",test could affect part life cycl could make go back specif test well,testing could affect part life cycle could make go back specification test well
coding,3.0,0.0,coding,['coding'],code,coding
"The Individual components and steps such as analysis, design, and implementing code as well as the entire system are tested for execution of the requirements identified during the analysis stage. i. e. Main output",1.5,0.0,the individual components and steps such as analysis design and implementing code as well as the entire system are tested for execution of the requirements identified during the analysis stage i e main output,"['individual', 'components', 'steps', 'analysis', 'design', 'implementing', 'code', 'well', 'entire', 'system', 'tested', 'execution', 'requirements', 'identified', 'analysis', 'stage', 'e', 'main', 'output']",individu compon step analysi design implement code well entir system test execut requir identifi analysi stage e main output,individual component step analysis design implementing code well entire system tested execution requirement identified analysis stage e main output
"Modularability, the ability to reuse parts of the program later in another program sometimes with completely different goals for the program. Also it makes it easier to debug code by dividing up the code into classes that each do a specific job and when the program fails at one job you only have one class to debug. Good for security purposes because it allows you to let someone use a program which sorts lists without having to give them access to the source code. ALso allows you to use inheritance and polymorphism.",4.5,1.0,modularability the ability to reuse parts of the program later in another program sometimes with completely different goals for the program also it makes it easier to debug code by dividing up the code into classes that each do a specific job and when the program fails at one job you only have one class to debug good for security purposes because it allows you to let someone use a program which sorts lists without having to give them access to the source code also allows you to use inheritance and polymorphism,"['modularability', 'ability', 'reuse', 'parts', 'program', 'later', 'another', 'program', 'sometimes', 'completely', 'different', 'goals', 'program', 'also', 'makes', 'easier', 'debug', 'code', 'dividing', 'code', 'classes', 'specific', 'job', 'program', 'fails', 'one', 'job', 'one', 'class', 'debug', 'good', 'security', 'purposes', 'allows', 'let', 'someone', 'use', 'program', 'sorts', 'lists', 'without', 'give', 'access', 'source', 'code', 'also', 'allows', 'use', 'inheritance', 'polymorphism']",modular abil reus part program later anoth program sometim complet differ goal program also make easier debug code divid code class specif job program fail one job one class debug good secur purpos allow let someon use program sort list without give access sourc code also allow use inherit polymorph,modularability ability reuse part program later another program sometimes completely different goal program also make easier debug code dividing code class specific job program fails one job one class debug good security purpose allows let someone use program sort list without give access source code also allows use inheritance polymorphism
"This type of programming is more flexible, making it easier to add and modify the program. It is also a type of a fail safe program, you check each individual module. This eliminates redundant code and makes the program easier to read for other programmers. When debugging the program it is easier to track down the source of a problem within a module rather than a 2 million line program.",5.0,1.0,this type of programming is more flexible making it easier to add and modify the program it is also a type of a fail safe program you check each individual module this eliminates redundant code and makes the program easier to read for other programmers when debugging the program it is easier to track down the source of a problem within a module rather than a 2 million line program,"['type', 'programming', 'flexible', 'making', 'easier', 'add', 'modify', 'program', 'also', 'type', 'fail', 'safe', 'program', 'check', 'individual', 'module', 'eliminates', 'redundant', 'code', 'makes', 'program', 'easier', 'read', 'programmers', 'debugging', 'program', 'easier', 'track', 'source', 'problem', 'within', 'module', 'rather', '2', 'million', 'line', 'program']",type program flexibl make easier add modifi program also type fail safe program check individu modul elimin redund code make program easier read programm debug program easier track sourc problem within modul rather 2 million line program,type programming flexible making easier add modify program also type fail safe program check individual module eliminates redundant code make program easier read programmer debugging program easier track source problem within module rather 2 million line program
The main advantages to object-oriented programming are that existing classes can be reused and program maintenance and verification are easier.,3.5,0.0,the main advantages to object-oriented programming are that existing classes can be reused and program maintenance and verification are easier,"['main', 'advantages', 'object-oriented', 'programming', 'existing', 'classes', 'reused', 'program', 'maintenance', 'verification', 'easier']",main advantag object-ori program exist class reus program mainten verif easier,main advantage object-oriented programming existing class reused program maintenance verification easier
The advantages is that OOP allows us to build classes of objects. Three principles that make up OOP are: Encapsulation-Objects combine data and operations. Inheritance-Classes can inherit properties from other classes. Polymorphism-Objects can determine appropriate operations at execution time.,2.5,0.0,the advantages is that oop allows us to build classes of objects three principles that make up oop are encapsulation-objects combine data and operations inheritance-classes can inherit properties from other classes polymorphism-objects can determine appropriate operations at execution time,"['advantages', 'oop', 'allows', 'us', 'build', 'classes', 'objects', 'three', 'principles', 'make', 'oop', 'encapsulation-objects', 'combine', 'data', 'operations', 'inheritance-classes', 'inherit', 'properties', 'classes', 'polymorphism-objects', 'determine', 'appropriate', 'operations', 'execution', 'time']",advantag oop allow us build class object three principl make oop encapsulation-object combin data oper inheritance-class inherit properti class polymorphism-object determin appropri oper execut time,advantage oop allows u build class object three principle make oop encapsulation-objects combine data operation inheritance-classes inherit property class polymorphism-objects determine appropriate operation execution time
Some advantages are existing classes can be reused and program maintenance and verification are easier to accomplish.,3.5,0.0,some advantages are existing classes can be reused and program maintenance and verification are easier to accomplish,"['advantages', 'existing', 'classes', 'reused', 'program', 'maintenance', 'verification', 'easier', 'accomplish']",advantag exist class reus program mainten verif easier accomplish,advantage existing class reused program maintenance verification easier accomplish
Object oriented programming allows programmers to use an object with classes that can be changed and manipulated while not affecting the entire object at once. The classes all hold attrubutes that affect the object.,1.0,0.0,object oriented programming allows programmers to use an object with classes that can be changed and manipulated while not affecting the entire object at once the classes all hold attrubutes that affect the object,"['object', 'oriented', 'programming', 'allows', 'programmers', 'use', 'object', 'classes', 'changed', 'manipulated', 'affecting', 'entire', 'object', 'classes', 'hold', 'attrubutes', 'affect', 'object']",object orient program allow programm use object class chang manipul affect entir object class hold attrubut affect object,object oriented programming allows programmer use object class changed manipulated affecting entire object class hold attrubutes affect object
"Reusable components, Extensibility, Maintainability, it reduces large problems into smaller more manageable problems.",4.0,1.0,reusable components extensibility maintainability it reduces large problems into smaller more manageable problems,"['reusable', 'components', 'extensibility', 'maintainability', 'reduces', 'large', 'problems', 'smaller', 'manageable', 'problems']",reusabl compon extens maintain reduc larg problem smaller manag problem,reusable component extensibility maintainability reduces large problem smaller manageable problem
Encapsulation-objects combine data and operations Inheritance-classes can inherit properties from other classes Polymorphism-Objects can determine appropriate operations at execution time,2.5,0.0,encapsulation-objects combine data and operations inheritance-classes can inherit properties from other classes polymorphism-objects can determine appropriate operations at execution time,"['encapsulation-objects', 'combine', 'data', 'operations', 'inheritance-classes', 'inherit', 'properties', 'classes', 'polymorphism-objects', 'determine', 'appropriate', 'operations', 'execution', 'time']",encapsulation-object combin data oper inheritance-class inherit properti class polymorphism-object determin appropri oper execut time,encapsulation-objects combine data operation inheritance-classes inherit property class polymorphism-objects determine appropriate operation execution time
Easier to debugg Reusability,3.0,0.0,easier to debugg reusability,"['easier', 'debugg', 'reusability']",easier debugg reusabl,easier debugg reusability
Re-usability and ease of maintenance,4.0,1.0,re-usability and ease of maintenance,"['re-usability', 'ease', 'maintenance']",re-us eas mainten,re-usability ease maintenance
"One of the main advantages is you can hide inner details a technique known by encapsulation. Objects combine the data and operations but you cannot see how it works. Another advantage is you can reuse classes that have been defined earlier in the program, a method known as inheritance. Finally another advantage is objects can determine appropriate operations at execution time a technique known as polymorphism.",5.0,1.0,one of the main advantages is you can hide inner details a technique known by encapsulation objects combine the data and operations but you cannot see how it works another advantage is you can reuse classes that have been defined earlier in the program a method known as inheritance finally another advantage is objects can determine appropriate operations at execution time a technique known as polymorphism,"['one', 'main', 'advantages', 'hide', 'inner', 'details', 'technique', 'known', 'encapsulation', 'objects', 'combine', 'data', 'operations', 'see', 'works', 'another', 'advantage', 'reuse', 'classes', 'defined', 'earlier', 'program', 'method', 'known', 'inheritance', 'finally', 'another', 'advantage', 'objects', 'determine', 'appropriate', 'operations', 'execution', 'time', 'technique', 'known', 'polymorphism']",one main advantag hide inner detail techniqu known encapsul object combin data oper see work anoth advantag reus class defin earlier program method known inherit final anoth advantag object determin appropri oper execut time techniqu known polymorph,one main advantage hide inner detail technique known encapsulation object combine data operation see work another advantage reuse class defined earlier program method known inheritance finally another advantage object determine appropriate operation execution time technique known polymorphism
"Existing classes can be reused, and program maintenance and verification are easier.",3.5,0.0,existing classes can be reused and program maintenance and verification are easier,"['existing', 'classes', 'reused', 'program', 'maintenance', 'verification', 'easier']",exist class reus program mainten verif easier,existing class reused program maintenance verification easier
Using different modules allows for easier debugging,2.0,0.0,using different modules allows for easier debugging,"['using', 'different', 'modules', 'allows', 'easier', 'debugging']",use differ modul allow easier debug,using different module allows easier debugging
"Data encapsulation concept, the use of functions or methods to manipulate data.",3.5,0.0,data encapsulation concept the use of functions or methods to manipulate data,"['data', 'encapsulation', 'concept', 'use', 'functions', 'methods', 'manipulate', 'data']",data encapsul concept use function method manipul data,data encapsulation concept use function method manipulate data
"Modular, reusable code, allowing faster deployment of solutions, and a more general view of a solution.",4.5,1.0,modular reusable code allowing faster deployment of solutions and a more general view of a solution,"['modular', 'reusable', 'code', 'allowing', 'faster', 'deployment', 'solutions', 'general', 'view', 'solution']",modular reusabl code allow faster deploy solut gener view solut,modular reusable code allowing faster deployment solution general view solution
